epoch,accuracy,loss,val_accuracy,val_loss
0,0.8349984288215637,0.4569489657878876,0.19636106491088867,7.1400251388549805
1,0.9467160105705261,0.1594780832529068,0.9040642976760864,0.2912184000015259
2,0.9714462161064148,0.08823177963495255,0.9156427383422852,0.2529696822166443
3,0.9861239790916443,0.049840159714221954,0.8979206085205078,0.33294403553009033
4,0.9919518828392029,0.031056569889187813,0.8669659495353699,0.39884936809539795
5,0.9939562082290649,0.023021789267659187,0.9165878891944885,0.2891749143600464
6,0.9950971603393555,0.018219739198684692,0.9135160446166992,0.29901617765426636
7,0.9956830143928528,0.015094439499080181,0.9196597337722778,0.3391847014427185
8,0.997039794921875,0.010807854123413563,0.9087901711463928,0.38323459029197693
9,0.9971939325332642,0.010720768943428993,0.9234404563903809,0.3781590163707733
10,0.997039794921875,0.010272545740008354,0.9284026622772217,0.337713360786438
